isotype	length
JU2057	3.396965604499829
JU2214	3.3132437219634805
JU2216	4.063861781118985
JU2457	4.165547404595686
JU2470	3.4498458274875916
JU2472	2.5053284801826834
JU2506	2.3165566256390244
JU2507	2.630991444217895
JU2518	3.03883124282181
JU2536	3.72819750719923
JU2597	4.3767508179405485
JU2747	3.893107608055563
JU2767	3.670652711809889
JU2799	4.551835645777682
JU2801	4.375539467530535
JU2836	5.129671367570047
JU2849	4.334902205938633
JU2861	4.110041047894612
JU2868	5.05893220240514
JU2872	2.3841965214979046
JU3171	2.733201061510632
JU3200	3.5079228362038086
JU3201	4.347582856286714
JU3202	6.605250282794664
JU3203	6.84989374855234
JU3206	2.0177214111952124
JU3237	3.0947074775106738
JU3272	3.134453949615313
JU3281	5.41630831420819
JU3319	5.33355736138979
JU3321	6.36973047406915
JU3326	5.54489639666351
JU3327	3.3906406909086138
JU3416	2.54576847351443
JU4042	0.910300551117734
JU4051	2.0148240336241883
JU4058	2.0356111765380063
JU4060	2.410556492761098
JU4062	2.187119364970069
JU4064	5.550290450652119
JU4080	2.5353779843740862
JU4084	3.052085204050964
JU4097	4.979229660669446
JU725	2.1868727796448755
MY2716	2.9159331167453315
MY539	3.975134216481206
MY681	3.5930872428925396
NIC1050	2.7881032841649818
NIC1052	2.6367615408274245
NIC1055	1.9402689605519101
NIC1057	4.687839781888198
NIC1058	1.8134008107398156
NIC1059	6.455788752561708
NIC1060	2.4941304241023308
NIC1062	5.854810997999925
NIC1069	2.9215675914260046
NIC1103	4.971369753428902
NIC1104	6.96122702287724
NIC1106	2.1294738805729407
NIC1123	5.899401844305764
NIC1124	6.033042871049842
NIC1138	1.7404362130150366
NIC1141	2.4946297593858477
NIC115	4.963873559543017
NIC117	3.000702986913753
NIC1183	3.386738478137426
NIC119	4.43848345410276
NIC1190	4.153979470527542
NIC1202	3.768115561592649
NIC1205	3.9318215041109545
NIC1218	2.598253132543028
NIC1220	2.5645613576107458
NIC1221	2.65611848885512
NIC123	5.536580306571356
NIC1267	5.467980269102503
NIC1288	8.058778305313846
NIC1292	4.8666881182510995
NIC1302	3.172646934171233
NIC1304	8.59522468027247
NIC1308	3.358473635237112
NIC1407	9.802259847095023
NIC1421	4.4299423549013675
NIC1423	5.787075036608105
NIC1442	2.411777090120806
NIC1491	2.638968479487907
NIC1525	4.6210398172932585
NIC1528	4.19678113481133
