strain	length
MY2144	9.469541504418519
ECA2658	31.364547726201668
ECA813	11.997558877894019
JU1516	7.063993271736143
ECA2171	13.90412901562912
ECA1284	15.299340298282123
ECA2340	27.525106700823436
JU4085	10.935825042548187
ECA2536	16.406581792501903
QG4184	13.011509671422207
JU2828	9.082592557934461
QG4017	17.302681134152117
MY2579	12.909585900150116
ECA1230	10.540042256400362
ECA2591	10.840125112857388
JU1491	10.01723956357202
QG2846	8.867836561866087
JT11398	38.70700771642971
ECA2563	12.57891922000869
MY508	10.703066752013502
ECA2413	13.1561303344025
WN2061	7.525896009306702
JU1409	14.381424049583515
ECA2431	14.822112187355485
ECA1071	7.2070747050780515
JU4048	10.523846883683456
ECA704	15.499774766410757
ECA1937	19.199748201945894
QX1791	7.959021844942266
ECA1929	25.703528808338206
NIC529	10.053311075532399
ECA1711	14.94023133134448
ED3005	9.25980473543183
ECA2677	13.56984849198888
ECA1281	13.144218035461964
NIC515	17.31700266209186
ECA2067	21.199542117344834
NIC196	12.975170467350805
JU2830	5.1676355880365765
ECA1296	12.996786605315929
ECA1279	12.869298237441123
QG2854	9.192881707676026
QG2845	9.539810683562115
NIC1812	11.442432362659625
ECA189	23.986016224013245
JU3399	9.795657418672555
ECA2319	10.566744544474927
MY2147	12.757536781088929
ECA1225	10.546801482203698
ECA1189	11.852335907663925
ECA1733	15.068388929496844
ECA2122	13.057418868462687
JU2878	9.430793071347908
ECA2549	12.32755632775789
QG556	54.739355937721164
NIC251	13.276591784362946
JU1088	19.650340947825725
ECA1245	13.245606422512008
MY2024	55.12443103942805
ECA1224	12.128259551101104
ECA926	22.492361167531456
MY882	42.698029399674844
JU2139	15.675447714269742
ECA2321	11.773433657939831
ECA1263	12.093258807584819
ECA640	19.91696229040485
ECA2183	9.448326904619929
ECA2535	16.822173794865446
MY579	9.301163166584917
ECA2574	11.288643244876786
ECA1887	12.09593572869505
ECA2147	12.616128423440916
ECA2485	10.986218082448309
WN2059	9.054752578388046
JU4098	14.236937232658734
ECA2125	14.842657556876517
QG2075	15.926944452576056
PS2025	10.855651255296735
MY772	8.570564472574803
NIC1797	14.719719954889104
JU3226	17.076748992448522
ECA2648	16.427461777161714
ECA1851	24.751749507595157
NIC511	6.606293300308647
ECA755	12.375138600492265
NIC199	13.936385915007419
ECA730	15.696461544985064
ECA347	15.723230756087386
ECA2552	11.028111897823441
JU778	15.356894102152115
MY2294	9.672050586407583
JU3166	4.796861937361095
MY524	8.051509469300788
ECA709	15.740965358442676
JU2234	17.010428271942523
JU2572	15.393233306223518
ECA1239	12.15288722531524
JU1172	22.1452314225621
ECA1259	12.385243977683391
WN2083	10.624566040455942
ECA1935	28.794703460378795
ECA787	9.736430539108666
JU1807	5.083981803341821
ECA2641	10.821721280224542
ECA1723	28.364856853103266
ECA2433	12.699581439052404
ECA2522	14.65406846466066
QG4080	13.435801667394003
ECA1209	14.252731067209105
ECA2163	13.5695138768501
ECA2249	23.026540775078285
QX1211	33.722245994038644
ECA774	7.4304637717269255
WN2065	8.686609002703369
JU1941	7.7036435710261175
WN2001	11.884793576125489
ECA2675	14.313430253383618
QG2928	8.27443007475537
ECA2526	17.011030579192322
QG4228	12.880474383076342
JU1581	13.784537565029499
WN2021	20.86626543912093
ECA1907	11.08827569977591
MY2479	10.481350761058522
RC301	51.760946587449105
JU782	10.569622234668428
ECA742	9.120203299533223
ECA1853	15.762715342463311
ECA1827	13.286295623387538
ECA2155	13.818601386157203
NIC1804	20.765412436292934
XZ1672	20.68062096012633
NIC1790	11.21824021967768
QG4151	13.630614601191148
ECA1855	13.474215485325836
ECA1278	10.674089080995236
MY2224	9.836212773492571
JU258	28.910747990507357
QG2827	9.19970785650712
ECA743	11.163898721139967
NIC1789	14.115672706365217
ECA2285	14.371653287531167
NIC1799	11.29145401204253
ECA250	20.41935345976767
JU311	8.074664836904295
JU2007	5.348200609224511
WN2086	9.446453059842767
ECA1292	12.880005921882052
MY564	18.88306843460543
ECA394	15.161010399910877
ECA1713	13.621579992444115
ECA2179	11.822354391229323
ECA1783	25.633125783139096
WN2074	15.261127249433558
JU1586	15.946218284569724
MY2453	10.912937367055703
ECA705	12.317517873594518
ECA193	18.285579642801615
ECA1987	27.527515929822645
ECA708	16.91720449427869
ECA1865	14.301785646554109
ECA716	15.761376881908195
ECA1749	27.89278181531382
JU2287	6.494123613487145
JU2578	6.260073708516771
NIC252	8.348915404647581
ECA1195	11.634635298374294
ECA1885	12.994912760538766
NIC521	9.078577176269112
ECA1441	13.39437631321316
ECA1184	12.110725717829084
XZ2020	28.584632076253325
ECA249	15.147826563442983
JU1792	9.340112368738795
ECA1751	35.57521078654135
JU2908	12.967407396131131
ECA732	11.387087018705573
JU3282	8.188567830144674
ECA764	16.258213439967285
ECA2679	14.855506778205632
MY991	9.496377638548598
ECA1757	10.851502027575874
ECA1857	13.223990284546883
ECA1849	26.19240152609435
ED3048	14.417763253654917
JU3134	14.762483769625064
ECA1298	13.09563191731125
ECA36	25.27421758528472
ECA1215	10.794082069761394
ECA2419	16.77539459846414
ECA928	25.36657136358773
ECA1243	12.215928717461207
MY741	8.78799738975341
QG2824	9.330876990908493
NIC1782	12.51172850014186
ECA2109	13.07287808787428
ECA551	6.657603185689022
ECA2674	9.90862348952435
ECA2650	16.221807312868126
MY2208	9.599572947348047
ECA2253	21.002052262437456
ECA2328	23.92357703911708
QX1233	20.951659222537337
ECA251	42.600522548234636
WN2095	10.016704179349974
MY2099	21.01951917268172
JU397	9.443240754510489
JU2522	9.786890502036544
MY2344	12.173432594836271
QG2841	9.529303768204453
ECA1691	23.00639694372379
JU367	8.094875591286549
ECA784	16.428599468633564
ECA1291	13.660663040653505
MY2689	11.99675580156095
ECA1729	17.272833463773033
QG4162	15.901781394139872
NIC1801	12.212448720017907
GXW1	8.7728727854806
NIC1794	13.504130078732679
MY887	7.0595094288765035
XZ1756	10.447822324152863
JU1922	7.915120338734459
ECA248	51.984603346209
XZ1515	12.013419635472143
ECA2191	11.012585755384094
XZ1734	10.284797828539725
ECA722	9.167183265017798
ECA2585	11.072214173114515
JU1652	18.68430704217069
JU1656	8.216876270885379
JU360	20.550321825085778
NIC1803	23.358412069719318
NIC200	14.028003540005114
ECA1789	21.031833009788787
ECA734	10.892994304784473
ECA2307	9.289183944616628
JU2604	7.050207128018447
ECA707	18.208283545743658
NIC237	14.577642366963532
AB1	12.607227660749393
MY2713	14.046139680526936
MY2719	19.43511649056306
ECA1725	9.776985893928684
ECA751	12.00103887533732
ECA1246	14.34976945745502
QG2836	9.031664133812294
ECA1227	12.899948984153282
JU4069	10.30955934880937
ECA2595	10.159116382414325
ECA927	10.330372410441427
ECA1803	23.507449652531495
NIC501	6.284969074841929
ECA594	8.57123370285236
JU3291	9.695406723094358
QG2810	9.778458200539312
ECA2546	11.350881660689684
MY2622	11.176747942469081
ECA1268	10.455652318400293
ECA1236	10.78839361240215
ECA396	13.405485535820626
QG2842	9.755838217157848
ECA1465	9.729537467249818
NIC1785	14.171687280596824
ECA2247	34.843206708948365
MY2635	13.692317632782002
ECA768	8.631263658749319
ECA2251	34.17912950452752
JU4054	9.430056918042595
WN2013	22.428115060885883
NIC1793	12.35318784738836
JU1808	11.277801714380345
JU1242	9.227347066970264
ECA1765	9.829721239800257
ECA1213	10.824130509223751
NIC263	16.379879504427336
ECA718	9.714078247838227
ECA2615	10.770190548852572
ECA245	9.443039985427221
MY965	7.546374455799978
NIC273	6.619711367373687
CB4932	13.96857589135796
ECA2085	25.81602641799571
ECA1727	16.365691822543106
JU3144	10.022727251847995
ECA776	13.90780978215569
QG4076	13.188253387725284
ECA2608	15.879964487091481
JU1580	14.904895972689415
ECA1229	10.52699226598798
ECA1250	12.274218674636511
ECA1983	12.959978940050236
ECA363	11.873015123240467
CX11285	9.863985830011229
ECA1781	13.397053234323394
ECA1831	6.0842869915105995
ECA723	11.356637041076683
ECA2375	11.24313558600284
QG4159	14.400162497355142
NIC1786	12.182734895694328
MY2097	11.80917055476143
QG4226	14.186878807897394
WN2062	8.071318685516506
ECA1221	12.813484432292782
JU2860	13.044636570161328
ECA2131	14.884350603168382
ECA2568	11.49737616844714
WN2018	23.987020069429587
QG4138	13.75883912237127
ECA1226	13.365398642194897
